,Education,Income,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Age,Married,Children,time_spent,total_purchase,total_campaigns
0,1.0,58138.0,635.0,88.0,546.0,172.0,88.0,88.0,3.0,8.0,10.0,4.0,7.0,65.0,0.0,0.0,1617.0,25.0,0.0
1,1.0,46344.0,11.0,1.0,6.0,2.0,1.0,6.0,2.0,1.0,1.0,2.0,5.0,68.0,0.0,2.0,27.0,6.0,0.0
2,1.0,71613.0,426.0,49.0,127.0,111.0,21.0,42.0,1.0,8.0,2.0,10.0,4.0,57.0,1.0,0.0,776.0,21.0,0.0
3,1.0,26646.0,11.0,4.0,20.0,10.0,3.0,5.0,2.0,2.0,0.0,4.0,6.0,38.0,1.0,1.0,53.0,8.0,0.0
4,2.0,58293.0,173.0,43.0,118.0,46.0,27.0,15.0,5.0,5.0,3.0,6.0,5.0,41.0,1.0,1.0,422.0,19.0,0.0
5,2.0,62513.0,520.0,42.0,98.0,0.0,42.0,14.0,2.0,6.0,4.0,10.0,6.0,55.0,1.0,1.0,716.0,22.0,0.0
6,1.0,55635.0,235.0,65.0,164.0,50.0,49.0,27.0,4.0,7.0,3.0,7.0,6.0,51.0,0.0,1.0,590.0,21.0,0.0
7,2.0,33454.0,76.0,10.0,56.0,3.0,1.0,23.0,2.0,4.0,0.0,4.0,8.0,37.0,1.0,1.0,169.0,10.0,0.0
8,2.0,30351.0,14.0,0.0,24.0,3.0,3.0,2.0,1.0,3.0,0.0,2.0,9.0,48.0,1.0,1.0,46.0,6.0,0.0
9,2.0,5648.0,28.0,0.0,6.0,1.0,1.0,13.0,1.0,1.0,0.0,0.0,20.0,72.0,1.0,2.0,49.0,2.0,1.0
10,1.0,24411.4,5.0,5.0,6.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,7.0,39.0,1.0,1.0,19.0,4.0,0.0
11,0.0,7500.0,6.0,16.0,11.0,11.0,1.0,16.0,1.0,2.0,0.0,3.0,8.0,46.0,1.0,0.0,61.0,6.0,0.0
12,1.0,63033.0,194.0,61.0,480.0,225.0,112.0,30.0,1.0,3.0,4.0,8.0,2.0,63.0,0.0,0.0,1102.0,16.0,0.0
13,2.0,59354.0,233.0,2.0,53.0,3.0,5.0,14.0,3.0,6.0,1.0,5.0,6.0,70.0,0.0,2.0,310.0,15.0,0.0
14,1.0,17323.0,3.0,14.0,17.0,6.0,1.0,5.0,1.0,1.0,0.0,3.0,8.0,35.0,1.0,0.0,46.0,5.0,0.0
15,2.0,82800.0,1006.0,22.0,115.0,59.0,68.0,45.0,1.0,7.0,6.0,12.0,3.0,76.0,0.0,0.0,1315.0,26.0,2.0
16,1.0,41850.0,53.0,5.0,19.0,2.0,13.0,4.0,3.0,3.0,0.0,3.0,8.0,42.0,1.0,2.0,96.0,9.0,0.0
17,1.0,37760.0,84.0,5.0,38.0,150.0,12.0,28.0,2.0,4.0,1.0,6.0,7.0,76.0,1.0,0.0,317.0,13.0,0.0
18,2.0,76995.0,1012.0,80.0,498.0,0.0,16.0,176.0,2.0,11.0,4.0,9.0,5.0,73.0,1.0,1.0,1782.0,26.0,1.0
19,0.0,33812.0,4.0,17.0,19.0,30.0,24.0,39.0,2.0,2.0,1.0,3.0,6.0,37.0,0.0,1.0,133.0,8.0,0.0
20,1.0,37040.0,86.0,2.0,73.0,69.0,38.0,48.0,1.0,4.0,2.0,5.0,8.0,40.0,1.0,0.0,316.0,12.0,0.0
21,1.0,2447.0,1.0,1.0,1725.0,1.0,1.0,1.0,15.0,0.0,28.0,0.0,1.0,43.0,1.0,1.0,1730.0,43.0,0.0
22,2.0,58607.0,867.0,0.0,86.0,0.0,0.0,19.0,3.0,2.0,3.0,9.0,8.0,73.0,1.0,1.0,972.0,17.0,1.0
23,2.0,65324.0,384.0,0.0,102.0,21.0,32.0,5.0,3.0,6.0,2.0,9.0,4.0,68.0,1.0,1.0,544.0,20.0,0.0
24,1.0,40689.0,270.0,3.0,27.0,39.0,6.0,99.0,7.0,7.0,1.0,5.0,8.0,71.0,1.0,1.0,444.0,20.0,0.0
25,1.0,18589.0,6.0,4.0,25.0,15.0,12.0,13.0,2.0,2.0,1.0,3.0,7.0,53.0,0.0,0.0,75.0,8.0,0.0
26,1.0,53359.0,173.0,4.0,30.0,3.0,6.0,41.0,4.0,5.0,1.0,4.0,7.0,46.0,1.0,2.0,257.0,14.0,0.0
27,1.0,34768.0,5.0,1.0,3.0,3.0,263.0,362.0,0.0,27.0,0.0,0.0,1.0,36.0,0.0,1.0,637.0,27.0,0.0
28,1.0,38360.0,36.0,2.0,42.0,20.0,21.0,10.0,2.0,2.0,1.0,4.0,3.0,33.0,1.0,1.0,131.0,9.0,0.0
29,2.0,84618.0,684.0,100.0,801.0,21.0,66.0,0.0,1.0,6.0,9.0,10.0,2.0,57.0,1.0,0.0,1672.0,26.0,1.0
30,2.0,10979.0,8.0,4.0,10.0,2.0,2.0,4.0,2.0,3.0,0.0,3.0,5.0,33.0,0.0,0.0,30.0,8.0,0.0
31,2.0,38620.0,112.0,17.0,44.0,34.0,22.0,89.0,1.0,2.0,5.0,3.0,3.0,59.0,1.0,0.0,318.0,11.0,0.0
32,1.0,40548.0,110.0,0.0,5.0,2.0,0.0,3.0,2.0,2.0,1.0,4.0,5.0,52.0,1.0,1.0,120.0,9.0,1.0
33,2.0,46610.0,96.0,12.0,96.0,33.0,22.0,43.0,6.0,4.0,1.0,6.0,6.0,70.0,0.0,2.0,302.0,17.0,0.0
34,2.0,68657.0,482.0,34.0,471.0,119.0,68.0,22.0,1.0,3.0,5.0,9.0,7.0,76.0,1.0,0.0,1196.0,18.0,0.0
35,2.0,49389.0,40.0,0.0,19.0,2.0,1.0,3.0,1.0,2.0,0.0,3.0,7.0,71.0,0.0,2.0,65.0,6.0,0.0
36,2.0,67353.0,702.0,17.0,151.0,0.0,8.0,35.0,5.0,5.0,6.0,12.0,2.0,52.0,1.0,1.0,913.0,28.0,0.0
37,0.0,23718.0,6.0,3.0,14.0,15.0,7.0,36.0,3.0,3.0,1.0,2.0,7.0,46.0,1.0,1.0,81.0,9.0,0.0
38,1.0,42429.0,55.0,0.0,6.0,2.0,0.0,4.0,2.0,1.0,1.0,3.0,5.0,49.0,0.0,1.0,67.0,7.0,0.0
39,2.0,48948.0,437.0,8.0,206.0,160.0,49.0,42.0,2.0,7.0,10.0,5.0,6.0,79.0,0.0,0.0,902.0,24.0,1.0
40,1.0,80011.0,421.0,76.0,536.0,82.0,178.0,102.0,2.0,8.0,6.0,5.0,4.0,42.0,1.0,1.0,1395.0,21.0,0.0
41,2.0,20559.0,13.0,1.0,29.0,3.0,0.0,7.0,2.0,2.0,0.0,3.0,8.0,37.0,1.0,1.0,53.0,7.0,0.0
42,1.0,21994.0,9.0,0.0,6.0,3.0,1.0,3.0,1.0,0.0,0.0,3.0,5.0,65.0,1.0,1.0,22.0,4.0,0.0
43,2.0,44179.0,81.0,11.0,50.0,3.0,2.0,39.0,1.0,1.0,3.0,4.0,2.0,63.0,0.0,0.0,186.0,9.0,0.0
44,2.0,7500.0,3.0,1.0,10.0,3.0,2.0,12.0,3.0,2.0,0.0,3.0,5.0,47.0,1.0,1.0,31.0,8.0,0.0
45,1.0,79941.0,123.0,164.0,266.0,227.0,30.0,174.0,1.0,2.0,4.0,9.0,1.0,46.0,0.0,0.0,984.0,16.0,0.0
